order_id,customer_id,province,amount,status,order_date
76,CUS003,HaiPhong,1915909.0,SUCCESS,2026-03-31
166,CUS041,HaiPhong,815396.0,SUCCESS,2026-03-27
141,CUS049,HCM,1656762.0,SUCCESS,2026-03-12
215,CUS044,DaNang,4953645.0,SUCCESS,2026-08-29
142,CUS047,CanTho,4450973.0,PENDING,2026-08-02
92,CUS043,CanTho,2861762.0,SUCCESS,2026-06-22
155,CUS031,DaNang,323802.0,SUCCESS,2026-03-14
126,CUS033,DaNang,156133.0,CANCELLED,2026-01-28
53,CUS004,CanTho,722023.0,FAILED,2026-06-02
63,CUS043,Hanoi,1176515.0,SUCCESS,2026-07-10
60,CUS014,CanTho,2274662.0,SUCCESS,2026-08-14
138,CUS031,CanTho,4503695.0,SUCCESS,2026-05-21
105,CUS010,HCM,588790.0,SUCCESS,2026-05-19
159,CUS011,DaNang,4824854.0,FAILED,2026-02-01
5,CUS018,Hanoi,1389319.0,PENDING,2026-03-13
220,CUS035,HCM,3310197.0,SUCCESS,2026-09-01
50,CUS036,HaiPhong,1348529.0,SUCCESS,2026-09-05
43,CUS042,Hanoi,558455.0,SUCCESS,2026-07-24
134,CUS018,CanTho,135153.0,SUCCESS,2026-01-22
44,CUS007,HCM,1657174.0,SUCCESS,2026-02-05
150,CUS036,HaiPhong,1943200.0,CANCELLED,2026-04-26
118,CUS049,Hanoi,2124362.0,SUCCESS,2026-06-09
11,CUS007,HaiPhong,2381811.0,SUCCESS,2026-02-11
68,CUS046,HaiPhong,4755227.0,SUCCESS,2026-08-30
101,CUS011,HaiPhong,3825458.0,SUCCESS,2026-08-04
75,CUS016,DaNang,1385448.0,CANCELLED,2026-04-08
161,CUS032,HaiPhong,724795.0,PENDING,2026-07-08
207,CUS017,HCM,865070.0,FAILED,2026-01-11
188,CUS042,HCM,677704.0,SUCCESS,2026-03-28
93,CUS020,HCM,1720422.0,SUCCESS,2026-03-04
152,CUS040,Hanoi,882431.0,FAILED,2026-06-10
115,CUS049,HaiPhong,2384185.0,CANCELLED,2026-03-06
94,CUS031,CanTho,660927.0,SUCCESS,2026-05-28
15,CUS036,HCM,2770280.0,CANCELLED,2026-02-28
116,CUS006,HaiPhong,212598.0,PENDING,2026-09-01
54,CUS005,HCM,3437114.0,SUCCESS,2026-03-05
82,CUS039,CanTho,1020107.0,SUCCESS,2026-02-18
52,CUS004,CanTho,4049591.0,SUCCESS,2026-02-10
175,CUS006,HCM,1001780.0,SUCCESS,2026-06-15
206,CUS015,CanTho,3005482.0,SUCCESS,2026-06-08
149,CUS010,CanTho,2598757.0,SUCCESS,2026-01-31
120,CUS014,HaiPhong,2199527.0,CANCELLED,2026-06-05
59,CUS030,CanTho,4772732.0,FAILED,2026-05-18
3,CUS002,Hanoi,1884068.0,SUCCESS,2026-01-07
192,CUS019,HCM,808156.0,SUCCESS,2026-07-14
6,CUS010,HCM,2873559.0,SUCCESS,2026-01-25
184,CUS021,HaiPhong,3247998.0,SUCCESS,2026-07-22
51,CUS004,CanTho,4598263.0,SUCCESS,2026-01-15
10,CUS003,HCM,2477562.0,FAILED,2026-08-10
46,CUS036,Hanoi,474365.0,PENDING,2026-08-03
86,CUS020,CanTho,2644467.0,PENDING,2026-04-14
195,CUS024,HaiPhong,1271127.0,SUCCESS,2026-05-25
65,CUS022,HCM,2264457.0,SUCCESS,2026-08-20
137,CUS015,HaiPhong,2090991.0,SUCCESS,2026-04-05
210,CUS009,CanTho,3119035.0,SUCCESS,2026-08-01
181,CUS032,HCM,3795911.0,SUCCESS,2026-03-27
49,CUS017,HaiPhong,2442843.0,SUCCESS,2026-07-20
17,CUS037,DaNang,1833640.0,PENDING,2026-08-15
23,CUS034,DaNang,4690795.0,FAILED,2026-06-24
139,CUS022,DaNang,3856291.0,SUCCESS,2026-03-01
64,CUS036,HCM,2334622.0,SUCCESS,2026-07-03
203,CUS019,DaNang,234042.0,FAILED,2026-04-12
42,CUS028,HaiPhong,3967686.0,FAILED,2026-06-22
38,CUS005,Hanoi,2821835.0,SUCCESS,2026-03-13
33,CUS034,CanTho,3599538.0,FAILED,2026-07-13
98,CUS008,HaiPhong,1168529.0,CANCELLED,2026-05-16
168,CUS019,HaiPhong,4664544.0,SUCCESS,2026-03-22
99,CUS036,CanTho,2711688.0,FAILED,2026-06-06
201,CUS017,HaiPhong,2584380.0,SUCCESS,2026-08-07
39,CUS043,HaiPhong,1847148.0,SUCCESS,2026-08-28
209,CUS006,DaNang,2790718.0,PENDING,2026-02-21
1,CUS041,Hanoi,259805.0,PENDING,2026-02-27
187,CUS034,HaiPhong,178744.0,PENDING,2026-08-11
77,CUS020,HCM,1920018.0,SUCCESS,2026-04-13
127,CUS028,DaNang,3906573.0,PENDING,2026-02-15
102,CUS041,DaNang,4422979.0,SUCCESS,2026-03-12
57,CUS043,DaNang,2052242.0,SUCCESS,2026-06-21
12,CUS024,DaNang,1807472.0,PENDING,2026-08-28
79,CUS042,CanTho,3402745.0,PENDING,2026-03-26
186,CUS038,DaNang,891919.0,FAILED,2026-01-26
73,CUS016,HCM,1535222.0,FAILED,2026-02-15
29,CUS001,CanTho,2769218.0,SUCCESS,2026-08-26
89,CUS001,DaNang,2456806.0,SUCCESS,2026-06-05
197,CUS025,CanTho,2070226.0,SUCCESS,2026-02-06
132,CUS002,HaiPhong,2776416.0,SUCCESS,2026-04-01
162,CUS021,CanTho,2150238.0,SUCCESS,2026-09-04
153,CUS014,DaNang,731049.0,SUCCESS,2026-05-22
107,CUS050,CanTho,213845.0,FAILED,2026-04-08
218,CUS030,DaNang,3475033.0,SUCCESS,2026-08-31
125,CUS003,DaNang,4518991.0,SUCCESS,2026-01-18
216,CUS024,Hanoi,2011440.0,SUCCESS,2026-08-15
114,CUS017,HaiPhong,2796033.0,SUCCESS,2026-03-28
182,CUS036,CanTho,3214267.0,SUCCESS,2026-08-11
21,CUS032,Hanoi,445240.0,FAILED,2026-06-10
13,CUS044,Hanoi,1485615.0,SUCCESS,2026-02-11
157,CUS041,CanTho,1709427.0,SUCCESS,2026-02-27
205,CUS004,CanTho,4216850.0,CANCELLED,2026-07-18
214,CUS017,CanTho,1086737.0,SUCCESS,2026-07-11
146,CUS019,HaiPhong,4065745.0,SUCCESS,2026-09-05
84,CUS047,HCM,3105311.0,SUCCESS,2026-08-24
177,CUS031,HaiPhong,2094563.0,SUCCESS,2026-04-09
198,CUS015,HaiPhong,2180516.0,SUCCESS,2026-01-03
41,CUS027,HCM,841262.0,SUCCESS,2026-04-01
88,CUS025,HCM,4824000.0,SUCCESS,2026-08-02
117,CUS023,HCM,625612.0,CANCELLED,2026-01-11
108,CUS031,Hanoi,3000766.0,SUCCESS,2026-08-07
97,CUS045,CanTho,3946926.0,SUCCESS,2026-08-23
56,CUS038,CanTho,4435419.0,SUCCESS,2026-02-22
136,CUS031,HaiPhong,3809560.0,CANCELLED,2026-03-17
180,CUS001,DaNang,2554467.0,CANCELLED,2026-06-18
163,CUS044,CanTho,4975144.0,FAILED,2026-07-30
103,CUS029,Hanoi,2446861.0,SUCCESS,2026-03-23
183,CUS013,HCM,4846586.0,SUCCESS,2026-01-12
145,CUS019,HCM,4167788.0,SUCCESS,2026-05-27
37,CUS015,Hanoi,645533.0,PENDING,2026-02-28
179,CUS005,DaNang,3530789.0,SUCCESS,2026-03-10
2,CUS009,Hanoi,4624866.0,SUCCESS,2026-01-09
200,CUS023,CanTho,2559487.0,PENDING,2026-06-26
87,CUS045,DaNang,4700748.0,SUCCESS,2026-06-20
211,CUS011,DaNang,4092032.0,FAILED,2026-07-11
70,CUS036,HCM,3655312.0,SUCCESS,2026-04-04
47,CUS001,Hanoi,2032894.0,SUCCESS,2026-05-04
8,CUS035,Hanoi,3225376.0,SUCCESS,2026-08-01
69,CUS045,HCM,4626743.0,SUCCESS,2026-05-30
178,CUS013,CanTho,4313433.0,PENDING,2026-08-10
204,CUS018,Hanoi,4797356.0,FAILED,2026-09-07
156,CUS045,HaiPhong,647099.0,PENDING,2026-07-21
7,CUS023,DaNang,2268961.0,CANCELLED,2026-04-28
199,CUS030,DaNang,4635197.0,SUCCESS,2026-08-30
165,CUS034,HaiPhong,2383346.0,SUCCESS,2026-04-22
173,CUS045,HaiPhong,1068595.0,SUCCESS,2026-06-05
158,CUS042,HCM,2278286.0,CANCELLED,2026-01-16
160,CUS030,DaNang,3426486.0,FAILED,2026-05-19
202,CUS031,Hanoi,2039825.0,SUCCESS,2026-05-28
147,CUS004,DaNang,4057482.0,SUCCESS,2026-04-13
72,CUS023,CanTho,3458940.0,FAILED,2026-02-09
196,CUS044,HCM,1475926.0,SUCCESS,2026-08-11
30,CUS024,DaNang,2058671.0,SUCCESS,2026-08-31
95,CUS013,HaiPhong,4197136.0,SUCCESS,2026-06-17
90,CUS042,DaNang,3950603.0,SUCCESS,2026-02-24
28,CUS049,HCM,4574639.0,FAILED,2026-08-24
58,CUS042,DaNang,3885477.0,SUCCESS,2026-01-03
124,CUS007,DaNang,1065483.0,CANCELLED,2026-07-20
169,CUS017,DaNang,1022420.0,FAILED,2026-08-10
55,CUS038,CanTho,383377.0,PENDING,2026-06-18
130,CUS021,HCM,776981.0,SUCCESS,2026-03-04
148,CUS032,Hanoi,4890404.0,PENDING,2026-02-08
27,CUS007,DaNang,4308584.0,PENDING,2026-04-06
219,CUS003,DaNang,4182434.0,SUCCESS,2026-08-16
80,CUS002,Hanoi,2241231.0,SUCCESS,2026-01-10
154,CUS005,HCM,72445.0,SUCCESS,2026-06-02
74,CUS048,DaNang,3503700.0,CANCELLED,2026-07-27
14,CUS030,HaiPhong,2314486.0,FAILED,2026-06-26
185,CUS042,HCM,4205117.0,FAILED,2026-05-09
109,CUS027,CanTho,4631289.0,CANCELLED,2026-05-05
193,CUS041,Hanoi,3771845.0,SUCCESS,2026-08-20
91,CUS033,HaiPhong,1473474.0,PENDING,2026-05-12
106,CUS030,HaiPhong,572322.0,SUCCESS,2026-04-10
32,CUS009,HCM,4036957.0,FAILED,2026-03-09
172,CUS018,CanTho,1149018.0,FAILED,2026-08-14
85,CUS022,CanTho,2683315.0,PENDING,2026-07-04
144,CUS046,CanTho,1111854.0,SUCCESS,2026-05-22
151,CUS029,DaNang,4986906.0,FAILED,2026-05-26
16,CUS003,DaNang,3415214.0,SUCCESS,2026-08-22
143,CUS013,DaNang,1958267.0,SUCCESS,2026-01-04
34,CUS047,HCM,2664865.0,SUCCESS,2026-06-16
208,CUS020,HaiPhong,329881.0,PENDING,2026-02-03
190,CUS035,HaiPhong,2706346.0,PENDING,2026-08-12
191,CUS035,Hanoi,623954.0,SUCCESS,2026-08-24
25,CUS008,DaNang,3697075.0,SUCCESS,2026-09-02
111,CUS043,HaiPhong,1434495.0,CANCELLED,2026-06-09
22,CUS011,HaiPhong,582909.0,SUCCESS,2026-04-30
213,CUS015,HaiPhong,4725077.0,SUCCESS,2026-01-04
24,CUS047,Hanoi,4554433.0,CANCELLED,2026-03-29
18,CUS042,HaiPhong,1248493.0,SUCCESS,2026-07-10
122,CUS002,DaNang,4880133.0,PENDING,2026-04-12
176,CUS010,HaiPhong,2498312.0,SUCCESS,2026-04-17
40,CUS037,CanTho,4015051.0,SUCCESS,2026-07-26
96,CUS045,Hanoi,944119.0,CANCELLED,2026-02-15
66,CUS004,Hanoi,3603211.0,CANCELLED,2026-01-01
171,CUS034,DaNang,4231663.0,PENDING,2026-02-22
110,CUS015,DaNang,3706057.0,SUCCESS,2026-03-28
81,CUS007,CanTho,3695385.0,SUCCESS,2026-04-22
