order_id,customer_id,province,amount,status
89,CUS038,CanTho,783064,SUCCESS
90,CUS020,DaNang,4499958,PENDING
91,CUS003,DaNang,1089879,SUCCESS
92,CUS007,DaNang,3911575,CANCELLED
93,CUS027,CanTho,3759914,FAILED
94,CUS016,HCM,4882220,CANCELLED
95,CUS027,Hanoi,937835,FAILED
96,CUS027,HCM,1370688,PENDING
97,CUS007,HaiPhong,4367226,CANCELLED
98,CUS015,HCM,4092104,SUCCESS
99,CUS020,HCM,1153472,PENDING
100,CUS026,DaNang,1429085,SUCCESS
101,CUS050,DaNang,1788173,SUCCESS
102,CUS044,CanTho,1689192,SUCCESS
103,CUS017,HCM,2923919,FAILED
104,CUS003,Hanoi,3003028,SUCCESS
105,CUS021,HaiPhong,3050734,SUCCESS
106,CUS025,CanTho,990890,SUCCESS
107,CUS028,Hanoi,2623606,CANCELLED
108,CUS044,HCM,1852896,SUCCESS
109,CUS043,DaNang,3134619,PENDING
110,CUS008,DaNang,2560256,PENDING
111,CUS021,HaiPhong,3501182,SUCCESS
112,CUS013,HaiPhong,3341401,SUCCESS
113,CUS048,HCM,3096799,SUCCESS
114,CUS036,Hanoi,1554181,SUCCESS
115,CUS038,CanTho,3290793,SUCCESS
116,CUS029,HCM,2580311,PENDING
117,CUS048,HCM,3311311,SUCCESS
118,CUS043,CanTho,1709182,CANCELLED
119,CUS049,HCM,3380339,SUCCESS
120,CUS013,HCM,170906,SUCCESS
121,CUS031,CanTho,4256202,SUCCESS
122,CUS027,CanTho,1012454,PENDING
123,CUS032,HaiPhong,1257723,PENDING
124,CUS001,Hanoi,3903181,SUCCESS
125,CUS045,CanTho,2349522,SUCCESS
126,CUS008,HaiPhong,710029,SUCCESS
127,CUS034,CanTho,2997489,FAILED
128,CUS029,CanTho,4084282,CANCELLED
129,CUS028,CanTho,2257272,SUCCESS
130,CUS031,HaiPhong,1332998,SUCCESS
131,CUS041,DaNang,3840778,SUCCESS
132,CUS041,HCM,1409257,SUCCESS
133,CUS019,HCM,1394990,SUCCESS
134,CUS035,Hanoi,734952,SUCCESS
135,CUS045,HCM,3546775,SUCCESS
136,CUS027,DaNang,2735925,SUCCESS
137,CUS014,HaiPhong,1977910,PENDING
138,CUS045,Hanoi,4290824,PENDING
139,CUS025,HaiPhong,79186,SUCCESS
140,CUS049,HaiPhong,4274567,FAILED
141,CUS027,CanTho,3750203,SUCCESS
142,CUS039,HCM,2466736,SUCCESS
143,CUS032,Hanoi,1974843,PENDING
144,CUS026,HCM,4210503,FAILED
145,CUS040,CanTho,183484,SUCCESS
146,CUS037,Hanoi,465540,SUCCESS
147,CUS030,HCM,298909,SUCCESS
148,CUS014,HaiPhong,1667887,PENDING
149,CUS025,DaNang,3772449,CANCELLED
150,CUS017,Hanoi,2378019,PENDING
151,CUS004,DaNang,1159900,SUCCESS
152,CUS042,Hanoi,3783454,FAILED
153,CUS013,Hanoi,3125612,SUCCESS
154,CUS031,Hanoi,2841649,SUCCESS
155,CUS045,DaNang,3846146,SUCCESS
156,CUS039,Hanoi,3900070,SUCCESS
157,CUS020,Hanoi,2914489,FAILED
158,CUS037,HaiPhong,2013439,PENDING
159,CUS005,CanTho,3468541,PENDING
160,CUS007,DaNang,4258952,PENDING
161,CUS008,CanTho,3924045,SUCCESS
162,CUS028,DaNang,391336,PENDING
163,CUS001,HaiPhong,4120538,SUCCESS
164,CUS024,HaiPhong,3551178,SUCCESS
165,CUS047,CanTho,4829095,SUCCESS
166,CUS035,HaiPhong,2351125,CANCELLED
167,CUS038,DaNang,1645408,SUCCESS
168,CUS006,DaNang,4414074,SUCCESS
169,CUS030,CanTho,3071142,SUCCESS
170,CUS002,HaiPhong,4262217,SUCCESS
171,CUS014,DaNang,3999270,SUCCESS
172,CUS039,DaNang,2801166,SUCCESS
173,CUS013,Hanoi,1244712,SUCCESS
174,CUS036,HCM,3468516,PENDING
175,CUS032,HaiPhong,3975018,SUCCESS
176,CUS015,HaiPhong,3474346,SUCCESS
177,CUS038,DaNang,2392639,SUCCESS
178,CUS028,CanTho,1687417,PENDING
179,CUS018,DaNang,1294448,SUCCESS
180,CUS013,DaNang,641796,SUCCESS
181,CUS049,HCM,998128,PENDING
182,CUS018,CanTho,4884205,SUCCESS
183,CUS019,Hanoi,4171510,SUCCESS
184,CUS024,HCM,1546225,PENDING
185,CUS009,DaNang,275303,SUCCESS
186,CUS019,HCM,3207455,PENDING
187,CUS007,Hanoi,2891618,SUCCESS
188,CUS029,DaNang,962600,SUCCESS
189,CUS031,Hanoi,4119472,SUCCESS
190,CUS005,CanTho,3165756,SUCCESS
191,CUS010,CanTho,4748172,SUCCESS
192,CUS016,Hanoi,2812462,SUCCESS
193,CUS039,CanTho,1167151,SUCCESS
194,CUS029,HaiPhong,1521898,SUCCESS
195,CUS028,DaNang,2864716,SUCCESS
196,CUS048,Hanoi,4740571,SUCCESS
197,CUS014,DaNang,3319119,SUCCESS
198,CUS012,CanTho,421571,SUCCESS
199,CUS029,CanTho,2376067,SUCCESS
200,CUS019,DaNang,3529788,SUCCESS
