order_id,customer_id,province,amount,status
146,CUS037,Hanoi,465540,SUCCESS
147,CUS030,HCM,298909,SUCCESS
151,CUS004,DaNang,1159900,SUCCESS
153,CUS013,Hanoi,3125612,SUCCESS
154,CUS031,Hanoi,2841649,SUCCESS
155,CUS045,DaNang,3846146,SUCCESS
156,CUS039,Hanoi,3900070,SUCCESS
161,CUS008,CanTho,3924045,SUCCESS
163,CUS001,HaiPhong,4120538,SUCCESS
164,CUS024,HaiPhong,3551178,SUCCESS
165,CUS047,CanTho,4829095,SUCCESS
167,CUS038,DaNang,1645408,SUCCESS
168,CUS006,DaNang,4414074,SUCCESS
169,CUS030,CanTho,3071142,SUCCESS
170,CUS002,HaiPhong,4262217,SUCCESS
171,CUS014,DaNang,3999270,SUCCESS
172,CUS039,DaNang,2801166,SUCCESS
173,CUS013,Hanoi,1244712,SUCCESS
175,CUS032,HaiPhong,3975018,SUCCESS
176,CUS015,HaiPhong,3474346,SUCCESS
177,CUS038,DaNang,2392639,SUCCESS
179,CUS018,DaNang,1294448,SUCCESS
180,CUS013,DaNang,641796,SUCCESS
182,CUS018,CanTho,4884205,SUCCESS
183,CUS019,Hanoi,4171510,SUCCESS
185,CUS009,DaNang,275303,SUCCESS
187,CUS007,Hanoi,2891618,SUCCESS
188,CUS029,DaNang,962600,SUCCESS
189,CUS031,Hanoi,4119472,SUCCESS
190,CUS005,CanTho,3165756,SUCCESS
191,CUS010,CanTho,4748172,SUCCESS
192,CUS016,Hanoi,2812462,SUCCESS
193,CUS039,CanTho,1167151,SUCCESS
194,CUS029,HaiPhong,1521898,SUCCESS
195,CUS028,DaNang,2864716,SUCCESS
196,CUS048,Hanoi,4740571,SUCCESS
197,CUS014,DaNang,3319119,SUCCESS
198,CUS012,CanTho,421571,SUCCESS
199,CUS029,CanTho,2376067,SUCCESS
200,CUS019,DaNang,3529788,SUCCESS
